,age_group,education,gender,nationality,electoral_district,unit,n
184,16-24,Higher education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,70
185,16-24,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,449
186,16-24,Secondary education,Female,Estonian,Pärnumaa,Pärnumaa,1637
187,16-24,Higher education,Female,Estonian,Pärnumaa,Pärnumaa,237
188,16-24,Basic education,Female,Estonian,Pärnumaa,Pärnumaa,1632
189,16-24,Secondary education,Female,Estonian,Harju- ja Raplamaa,Raplamaa,611
190,16-24,Higher education,Female,Estonian,Harju- ja Raplamaa,Raplamaa,92
191,16-24,Basic education,Female,Estonian,Harju- ja Raplamaa,Raplamaa,664
192,16-24,Secondary education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,567
193,16-24,Higher education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,102
194,16-24,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,563
195,16-24,Secondary education,Female,Estonian,Tartu linn,Tartu linn,1566
196,16-24,Higher education,Female,Estonian,Tartu linn,Tartu linn,321
197,16-24,Basic education,Female,Estonian,Tartu linn,Tartu linn,1583
198,16-24,Secondary education,Female,Estonian,Jõgeva- ja Tartumaa,Tartumaa,1104
199,16-24,Higher education,Female,Estonian,Jõgeva- ja Tartumaa,Tartumaa,188
200,16-24,Basic education,Female,Estonian,Jõgeva- ja Tartumaa,Tartumaa,1262
201,16-24,Secondary education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,476
202,16-24,Higher education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,83
203,16-24,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,484
204,16-24,Secondary education,Female,Estonian,Järva- ja Viljandimaa,Viljandimaa,877
205,16-24,Higher education,Female,Estonian,Järva- ja Viljandimaa,Viljandimaa,139
206,16-24,Basic education,Female,Estonian,Järva- ja Viljandimaa,Viljandimaa,966
207,16-24,Secondary education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,708
208,16-24,Higher education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,125
209,16-24,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,610
210,16-24,Secondary education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,293
211,16-24,Higher education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,32
212,16-24,Basic education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,273
213,16-24,Secondary education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,114
214,16-24,Higher education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,31
215,16-24,Basic education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,132
216,16-24,Secondary education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,77
217,16-24,Higher education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,10
218,16-24,Basic education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,95
219,16-24,Secondary education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,822
220,16-24,Higher education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,120
221,16-24,Basic education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1040
222,16-24,Secondary education,Female,Other,Mustamäe ja Nõmme,Mustamäe,273
223,16-24,Higher education,Female,Other,Mustamäe ja Nõmme,Mustamäe,35
224,16-24,Basic education,Female,Other,Mustamäe ja Nõmme,Mustamäe,271
225,16-24,Secondary education,Female,Other,Mustamäe ja Nõmme,Nõmme,51
226,16-24,Higher education,Female,Other,Mustamäe ja Nõmme,Nõmme,6
227,16-24,Basic education,Female,Other,Mustamäe ja Nõmme,Nõmme,68
228,16-24,Secondary education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,66
229,16-24,Higher education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,9
230,16-24,Basic education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,68
